AMAZONAS;CATARATAS DE GOCTA
AMAZONAS;CAVERNA DE QUIOCTA
AMAZONAS;COMPLEJO ARQUEOLOGICO DE KUELAP
AMAZONAS;MUSEO DE LEYMEBAMBA
AMAZONAS;SITIO ARQUEOLOGICO DE KARAJIA
AMAZONAS;SITIO ARQUEOLOGICO REVASH
ANCASH;MONUMENTO ARQUEOLOGICO CHAVIN DE HUANTAR
ANCASH;MONUMENTO ARQUEOLOGICO DE WILLKAWAIN
ANCASH;MUSEO ARQUEOLOGICO DE ANCASH AGUSTO SORIANO INFANTE
ANCASH;MUSEO REGIONAL DE CASMA MAX UHLE
ANCASH;PARQUE NACIONAL HUASCARAN
APURIMAC;CONJUNTO ARQUEOLOGICO DE SAYWITE
APURIMAC;MUSEO ARQUEOLOGICO ANTROPOLOGICO DE APURIMAC
APURIMAC;SANTUARIO NACIONAL DE AMPAY
AREQUIPA;MONASTERIO DE SANTA CATALINA
AREQUIPA;RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA
AREQUIPA;RESERVA PAISAJISTICA SUB CUENCA DEL COTAHUASI
AREQUIPA;SANTUARIO NACIONAL LAGUNAS DE MEJIA
AREQUIPA;VALLE DEL COLCA
AYACUCHO;CENTRO ARQUEOLOGICO INTIHUATANA
AYACUCHO;COMPLEJO ARQUEOLOGICO DE WARI
AYACUCHO;MUSEO ARQUEOLOGICO HIPOLITO UNANUE
AYACUCHO;MUSEO DE SITIO DE QUINUA
AYACUCHO;RESERVA NACIONAL PAMPA GALERAS BARBARA DE ACHILLE
AYACUCHO;SANTUARIO HISTORICO PAMPA DE AYACUCHO
CAJAMARCA;CENTRO ARQUEOLOGICO VENTANILLAS DE OTUZCO
CAJAMARCA;COMPLEJO MONUMENTAL BELEN
CAJAMARCA;MONUMENTO ARQUEOLOGICO CUMBEMAYO
CAJAMARCA;SITIO ARQUEOLOGICO KUNTUR WASI
CAJAMARCA;ZONA RESERVADA DE CHANCAYBANOS
CALLAO;ISLOTES PALOMINO
CALLAO;MUSEO DE SITIO NAVAL SUBMARINO ABTAO
CALLAO;MUSEO FORTALEZA DEL REAL FELIPE
CALLAO;MUSEO NAVAL DEL PERU CAPITAN DE NAVIO JULIO JOSE ELIAS MURGUIA
CUSCO;CAMINO INKA CHACHABAMBA
CUSCO;CAMINO INKA INTIHUATANA
CUSCO;CAMINO INKA PISKACUCHO
CUSCO;CAMINO INKA QORYWAYRACHINA
CUSCO;CIUDAD INKA DE MACHU PICCHU
CUSCO;COMPLEJO ARQUEOLOGICO DE MORAY
CUSCO;COMPLEJO ARQUEOLOGICO DE TIPON
CUSCO;EXPLANADA DE SAQSAYHUAMAN
CUSCO;MUSEO DE SITIO MANUEL CHAVEZ BALLON
CUSCO;MUSEO HISTORICO REGIONAL DEL CUSCO
CUSCO;OLLANTAYTAMBO
CUSCO;PARQUE ARQUEOLOGICO DE CHOQUEQUIRAO
CUSCO;PARQUE ARQUEOLOGICO DE PIKILLAQTA
CUSCO;PARQUE ARQUEOLOGICO DE RAQCHI
CUSCO;PISAQ
CUSCO;SANTUARIO HISTORICO DE MACHU PICCHU
HUANCAVELICA;MUSEO ARQUEOLOGICO SAMUEL HUMBERTO ESPINOZA LOZANO
HUANCAVELICA;MUSEO REGIONAL DANIEL HERNANDEZ MORILLO
HUANUCO;COMPLEJO ARQUEOLOGICO KOTOSH
HUANUCO;PARQUE NACIONAL DE TINGO MARIA CUEVA DE LAS LECHUZAS
ICA;ISLAS BALLESTAS
ICA;MIRADOR DE LAS LINEAS DE NASCA
ICA;MUSEO DE SITIO PARACAS JULIO C TELLO
ICA;PUNTA SAN JUAN
ICA;RESERVA NACIONAL DE PARACAS
ICA;RESERVA NACIONAL SAN FERNANDO
JUNIN;MUSEO DE SITIO Y SANTUARIO DE WARI WILLKA
JUNIN;MUSEO REGIONAL DE ARQUEOLOGIA DE JUNIN
LA LIBERTAD;COMPLEJO ARQUEOLOGICO HUACA ARCO IRIS
LA LIBERTAD;COMPLEJO ARQUEOLOGICO HUACA DEL SOL Y DE LA LUNA
LA LIBERTAD;COMPLEJO ARQUEOLOGICO HUACA EL BRUJO
LA LIBERTAD;MUSEO DE SITIO CHAN CHAN
LA LIBERTAD;PALACIO NIKAN CASA DEL CENTRO
LAMBAYEQUE;MUSEO DE SITIO DE TUCUME
LAMBAYEQUE;MUSEO DE SITIO HUACA CHOTUNACHORNACAP
LAMBAYEQUE;MUSEO DE SITIO HUACA RAJADA SIPAN
LAMBAYEQUE;MUSEO DE TUMBAS REALES DEL SENOR DE SIPAN
LAMBAYEQUE;MUSEO NACIONAL DE ARQUEOLOGIA Y ETNOGRAFIA HEINRICH BRUNNING
LAMBAYEQUE;MUSEO NACIONAL DE SICAN
LAMBAYEQUE;SANTUARIO HISTORICO BOSQUE DE POMAC
LIMA;CASA MUSEO JOSE CARLOS MARIATEGUI
LIMA;CENTRO TURISTICO CASTILLO DE CHANCAY
LIMA;CIRCUITO MAGICO DEL AGUA DEL PARQUE DE LA RESERVA
LIMA;CIUDAD SAGRADA DE CARAL
LIMA;MUSEO DE ARTE ITALIANO
LIMA;MUSEO DE LA INQUISICION Y DEL CONGRESO
LIMA;MUSEO DE SITIO ARTURO JIMENEZ BORJA PURUCHUCO
LIMA;MUSEO DE SITIO EL MIRADOR DEL CERRO SAN CRISTOBAL
LIMA;MUSEO DE SITIO HUACA PUCLLANA
LIMA;MUSEO DE SITIO HUALLAMARCA
LIMA;MUSEO DE SITIO PACHACAMAC
LIMA;MUSEO NACIONAL DE ARQUEOLOGIA ANTROPOLOGIA E HISTORIA DEL PERU
LIMA;MUSEO NACIONAL DE LA CULTURA PERUANA
LIMA;MUSEO ORO DEL PERU Y ARMAS DEL MUNDO
LIMA;REFUGIO DE VIDA SILVESTRE PANTANOS DE VILLA
LIMA;RESERVA NACIONAL DE LACHAY
LIMA;RESERVA PAISAJISTICA NOR YAUYOS  COCHAS
LORETO;RESERVA NACIONAL DE PACAYA SAMIRIA
LORETO;COMPLEJO TURISTICO DE QUISTOCOCHA
LORETO;RESERVA NACIONAL ALLPAHUAYO MISHANA
LORETO;ZONA RESERVADA SIERRA DIVISOR
MADRE DE DIOS;PARQUE NACIONAL DEL MANU
MADRE DE DIOS;RESERVA NACIONAL DE TAMBOPATA
MOQUEGUA;MUSEO CONTISUYO
MOQUEGUA;RESERVA NACIONAL DE ISLAS ISLOTES Y PUNTAS GUANERASPUNTA COLES
PASCO;PARQUE NACIONAL YANACHAGA CHEMILLEN
PASCO;SANTUARIO NACIONAL DE HUAYLLAY
PIURA;SALA DE ORO DEL MUSEO MUNICIPAL VICUS
PIURA;ZONA ARQUEOLOGICA Y MUSEO DE SITIO NARIHUALA
PUNO;COMPLEJO ARQUEOLOGICO DE SILLUSTANI
PUNO;ISLA AMANTANI DEL LAGO TITICACA
PUNO;ISLA TAQUILE DEL LAGO TITICACA
PUNO;ISLA UROS DEL LAGO TITICACA
PUNO;MUSEO LITICO DE PUKARA
PUNO;RESERVA NACIONAL DEL TITICACA
PUNO;TEMPLO MUSEO SAN JUAN DE LETRAN
SAN MARTIN;BANOS TERMALES DE SAN MATEO
SAN MARTIN;CATARATA DE AHUASHIYACU
SAN MARTIN;RECREO TURISTICO NACIENTE DE TIOYACU
SAN MARTIN;RESERVA ECOLOGICA TINGANA
TACNA;MUSEO DE SITIO LAS PEANAS
TACNA;REGIONAL DE TACNA
TUMBES;PARQUE NACIONAL CERROS DE AMOTAPE
TUMBES;MUSEO DE SITIO CABEZA DE VACA GRAN CHILIMASA
TUMBES;SANTUARIO NACIONAL LOS MANGLARES DE TUMBES
UCAYALI;CAIDA DE AGUA DUCHA DEL DIABLO
UCAYALI;CAIDA DE AGUA LOS TOBOGANES
UCAYALI;CAIDA DE AGUA VELO DE LA NOVIA
UCAYALI;CATARATA SHAMBILLO
UCAYALI;PUENTE AGUAYTIA
UCAYALI;ZOOLOGICO PARQUE NATURAL DE PUCALLPA
AMAZONAS;SITIO ARQUEOLOGICO REVASH
ANCASH;MONUMENTO ARQUEOLOGICO CHAVIN DE HUANTAR
ANCASH;MUSEO ARQUEOLOGICO DE ANCASH AGUSTO SORIANO INFANTE
AREQUIPA;MONASTERIO DE SANTA CATALINA
APURIMAC;MUSEO ARQUEOLOGICO ANTROPOLOGICO DE APURIMAC
AREQUIPA;RESERVA PAISAJISTICA SUB CUENCA DEL COTAHUASI
CAJAMARCA;COMPLEJO MONUMENTAL BELEN
CAJAMARCA;MONUMENTO ARQUEOLOGICO CUMBEMAYO
CALLAO;MUSEO DE SITIO NAVAL SUBMARINO ABTAO
CALLAO;MUSEO FORTALEZA DEL REAL FELIPE
CUSCO;EXPLANADA DE SAQSAYHUAMAN
CUSCO;MUSEO DE SITIO MANUEL CHAVEZ BALLON
LIMA;MUSEO ORO DEL PERU Y ARMAS DEL MUNDO
LIMA;REFUGIO DE VIDA SILVESTRE PANTANOS DE VILLA
HUANCAVELICA;MUSEO REGIONAL DANIEL HERNANDEZ MORILLO
ICA;MUSEO DE SITIO PARACAS JULIO C TELLO
ICA;PUNTA SAN JUAN
LAMBAYEQUE;MUSEO DE SITIO HUACA RAJADA SIPAN
LAMBAYEQUE;MUSEO DE TUMBAS REALES DEL SENOR DE SIPAN
CUSCO;PISAQ
CUSCO;SANTUARIO HISTORICO DE MACHU PICCHU
TACNA;MUSEO DE SITIO LAS PEANAS
PIURA;ZONA ARQUEOLOGICA Y MUSEO DE SITIO NARIHUALA
HUANUCO;PARQUE NACIONAL DE TINGO MARIA CUEVA DE LAS LECHUZAS
PIURA;SALA DE ORO DEL MUSEO MUNICIPAL VICUS
MADRE DE DIOS;PARQUE NACIONAL DEL MANU
PIURA;ZONA ARQUEOLOGICA Y MUSEO DE SITIO NARIHUALA
ICA;MUSEO DE SITIO PARACAS JULIO C TELLO
ICA;PUNTA SAN JUAN
